QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
FA-Nephro-Incontinence-001,Nephrology,Micturition & Urinary Incontinence,"A 50-year-old multiparous woman complains of urinary leakage every time she laughs, coughs, or sneezes. The underlying mechanism is an increase in intra-abdominal pressure overcoming an incompetent outlet. Which of the following is the recommended first-line treatment for her specific condition?",Oxybutynin,Alpha-blockers,Kegel exercises,Catheterization,Mirabegron,C,
FA-Nephro-Incontinence-002,Nephrology,Micturition & Urinary Incontinence,A 65-year-old male with a history of benign prostatic hyperplasia (BPH) presents with continuous dribbling of urine and a sensation of incomplete emptying. Post-void residual volume is significantly increased. Which medication class is most appropriate to relieve the obstruction in this type of incontinence?,Antimuscarinics,Cholinergic agonists,Alpha-1 receptor antagonists,Beta-3 receptor agonists,Nicotinic receptor antagonists,C,
FA-Nephro-Incontinence-003,Nephrology,Micturition & Urinary Incontinence,"A 70-year-old female suffers from sudden, overwhelming urges to urinate, frequently resulting in leakage before reaching the bathroom. This urgency incontinence is driven by detrusor muscle overactivity. Which class of medication, acting to relax the detrusor, is an appropriate pharmacological treatment?",Muscarinic M3 receptor antagonists,Alpha-1 receptor antagonists,Cholinergic agonists,Nicotinic receptor agonists,Beta-1 receptor blockers,A,
FA-Nephro-Incontinence-004,Nephrology,Micturition & Urinary Incontinence,A patient receives a medication to treat urinary retention. The drug stimulates contraction of the detrusor muscle. Which specific receptor is targeted by this cholinergic agonist?,Alpha-1 receptor,Beta-3 receptor,Nicotinic receptor,M3 receptor,Beta-2 receptor,D,
FA-Nephro-Incontinence-005,Nephrology,Micturition & Urinary Incontinence,Voluntary control over the external urethral sphincter is mediated by the pudendal nerve. Which type of receptor directly controls this somatic process?,Alpha-1 receptor,Beta-3 receptor,Nicotinic receptor,Muscarinic M3 receptor,Muscarinic M1 receptor,C,
FA-Nephro-Incontinence-006,Nephrology,Micturition & Urinary Incontinence,"During the normal micturition reflex, the bladder fills and stretches, activating mechanoreceptors. This physical stretch information is carried towards the spinal cord primarily by which specific set of nerves?",Efferent parasympathetic fibers,Pudendal nerve fibers,Afferent pelvic splanchnic nerves,Sympathetic hypogastric nerves,Somatic motor fibers,C,
FA-Nephro-Incontinence-007,Nephrology,Micturition & Urinary Incontinence,A 40-year-old female with a history of Multiple Sclerosis presents with urinary leakage and a high post-void residual volume. Her underlying neurological disease leads to incomplete emptying. Which specific type of incontinence is this?,Stress incontinence,Urgency incontinence,Overflow incontinence,Functional incontinence,Mixed incontinence,C,
FA-Nephro-Nephritic-001,Nephrology,Nephritic Syndromes,"A 7-year-old boy presents with peripheral and periorbital edema, hypertension, and cola-colored urine. His mother notes he had a skin infection diagnosed as impetigo three weeks ago. Laboratory testing reveals decreased C3 levels. The underlying pathogenesis of this patient's renal condition is mediated by which of the following mechanisms?",Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type IV hypersensitivity,Direct bacterial toxicity to the glomerulus,C,
FA-Nephro-Nephritic-002,Nephrology,Nephritic Syndromes,"A 10-year-old girl develops acute poststreptococcal glomerulonephritis following a severe sore throat. If a renal biopsy were performed, what would be the expected finding on electron microscopy?",Subendothelial immune complex humps,Subepithelial immune complex humps,Intramembranous deposits,Effacement of podocyte foot processes,Basket-weave appearance of the basement membrane,B,
FA-Nephro-Nephritic-003,Nephrology,Nephritic Syndromes,A 55-year-old male presents with hemoptysis and rapidly declining renal function. A renal biopsy reveals a crescent moon shape in the glomeruli on light microscopy. Immunofluorescence demonstrates a linear pattern of deposition. Which of the following is the most likely diagnosis?,Granulomatosis with polyangiitis,Goodpasture syndrome,Acute poststreptococcal glomerulonephritis,IgA nephropathy,Diffuse proliferative glomerulonephritis,B,
FA-Nephro-Nephritic-004,Nephrology,Nephritic Syndromes,"A patient is being evaluated for rapidly progressive glomerulonephritis. Renal biopsy confirms the presence of crescents on light microscopy, but immunofluorescence is completely negative. Which of the following conditions is most consistent with these biopsy findings?",Microscopic polyangiitis,Goodpasture syndrome,Alport syndrome,Membranoproliferative glomerulonephritis,Acute poststreptococcal glomerulonephritis,A,
FA-Nephro-Nephritic-005,Nephrology,Nephritic Syndromes,A 22-year-old male presents with episodic gross hematuria. He reports having a mild respiratory infection just two days prior to the onset of the hematuria. Renal biopsy reveals mesangial proliferation. Immunofluorescence would most likely show deposition of which of the following in the mesangium?,IgG and C3,IgM,IgA,Fibrinogen,Type IV collagen,C,
FA-Nephro-Nephritic-006,Nephrology,Nephritic Syndromes,"A 14-year-old boy is evaluated for chronic microscopic hematuria, progressive sensorineural hearing loss, and bilateral lens dislocations. Family history is significant for an uncle who required a kidney transplant. The underlying genetic mutation in this condition most directly affects which structural component?",Type I collagen,Type III collagen,Type IV collagen,Fibronectin,Heparan sulfate,C,
FA-Nephro-Nephritic-007,Nephrology,Nephritic Syndromes,"A patient with chronic Hepatitis C infection develops edema and heavy proteinuria. Renal biopsy reveals a ""tram-track"" appearance on both light microscopy and immunofluorescence. This specific morphological change is primarily due to which of the following processes?",Mesangial growth and splitting of the basement membrane,Fusion of podocyte foot processes,Subepithelial deposition of IgG,Nonenzymatic glycation of the mesangium,Ischemic necrosis of the tubular epithelium,A,
FA-Nephro-Nephritic-008,Nephrology,Nephritic Syndromes,"A patient is diagnosed with Type II Membranoproliferative Glomerulonephritis. Laboratory evaluation demonstrates the presence of C3 nephritic factor. In this specific subtype, where are the immune deposits typically located on electron microscopy?",Subepithelial space,Subendothelial space,Intramembranous space,Mesangial matrix,Parietal layer of Bowman's capsule,C,
FA-Nephro-Nephritic-009,Nephrology,Nephritic Syndromes,"A patient is suspected of having a nephritic syndrome based on hematuria and hypertension. To fit the classic definition of ""mild proteinuria"" seen in nephritic syndromes, the 24-hour urine protein must fall below what specific threshold?",<1.0 g/day,<2.5 g/day,<3.0 g/day,<3.5 g/day,<4.0 g/day,D,
FA-Nephro-Nephritic-010,Nephrology,Nephritic Syndromes,"A patient with acute poststreptococcal glomerulonephritis presents with ""cola-colored"" urine. The hematuria is classified as glomerular in origin due to inflammation and GBM damage. Which characteristic finding on urinalysis strictly confirms that the RBCs are of glomerular origin?",Isomorphic RBCs,Dysmorphic RBCs,RBC fragments,Hemoglobin casts,Clumped RBCs,B,
FA-Nephro-Nephritic-011,Nephrology,Nephritic Syndromes,"A 45-year-old patient presents with rapidly declining renal function. Biopsy shows crescents on LM. Immunofluorescence is strictly negative. While Granulomatosis with polyangiitis and microscopic polyangiitis are possibilities, which other condition classically presents with a negative IF?",Goodpasture syndrome,Eosinophilic polyangiitis,IgA nephropathy,Lupus nephritis,Poststreptococcal glomerulonephritis,B,
FA-Nephro-Nephritic-012,Nephrology,Nephritic Syndromes,A 20-year-old male presents with episodic gross hematuria. He reports having a gastrointestinal infection just 3 days ago. Renal biopsy reveals mesangial proliferation. The timing of this hematuria (2-4 days post-infection) is the classic hallmark of which condition?,Acute poststreptococcal glomerulonephritis,IgA Nephropathy,Membranoproliferative glomerulonephritis,Alport syndrome,Goodpasture syndrome,B,
FA-Nephro-Nephritic-013,Nephrology,Nephritic Syndromes,"A 12-year-old boy presents with hematuria and sensorineural deafness. The physician suspects Alport Syndrome, which is caused by a mutation in Type IV collagen. According to the classic mnemonic, what other specific issue does this patient most likely have?",Skin lesions,Cardiac defects,Eye problems,Hepatic cysts,Pulmonary hypoplasia,C,
FA-Nephro-Nephritic-014,Nephrology,Nephritic Syndromes,"A 40-year-old male with chronic Hepatitis B infection presents with a mixed nephrotic and nephritic picture. Biopsy demonstrates a ""tram-track"" appearance. This finding is classically secondary to which specific type of glomerulonephritis?",Type I Membranoproliferative GM,Type II Membranoproliferative GM,Membranous Nephropathy,Diffuse Proliferative GM,Focal Segmental Glomerulosclerosis,A,
FA-Nephro-Stone-001,Nephrology,Nephrolithiasis,A 35-year-old male presents with unilateral colicky flank pain radiating to the groin. Ultrasound confirms hydronephrosis. Urinalysis shows envelope-shaped crystals. He has a history of Crohn's disease resulting in malabsorption. Which of the following is the most appropriate long-term pharmacological treatment to prevent recurrence of this specific stone?,Allopurinol,Broad-spectrum antibiotics,Thiazide diuretics,Loop diuretics,Calcium supplements,C,
FA-Nephro-Stone-002,Nephrology,Nephrolithiasis,A 40-year-old female presents with recurrent urinary tract infections. Imaging reveals a large staghorn calculus in the right kidney. Urinalysis shows a urine pH of 8.5 and coffin-lid shaped crystals. Infection with which of the following urease-positive organisms is the most likely underlying cause?,Escherichia coli,Proteus mirabilis,Staphylococcus saprophyticus,Enterococcus faecalis,Pseudomonas aeruginosa,B,
FA-Nephro-Stone-003,Nephrology,Nephrolithiasis,A 15-year-old boy with a history of recurrent kidney stones is found to have six-sided hexagon-shaped crystals in his urine. His urine pH is decreased. The underlying pathogenesis is a recessive defect in the proximal convoluted tubule's ability to transport certain amino acids. Which of the following is one of the specific amino acids affected?,Alanine,Glutamine,Arginine,Methionine,Phenylalanine,C,
FA-Nephro-Stone-004,Nephrology,Nephrolithiasis,"A 60-year-old male with a long history of gout presents with acute left-sided flank pain and hematuria. An abdominal X-ray does not reveal any radiopaque stones, but a non-contrast CT confirms a calculus in the left ureter. Urine microscopy shows rhomboid-shaped crystals. Which of the following is the most appropriate treatment strategy for this specific type of stone?",Acidifying the urine,Surgical removal only,Administering thiazide diuretics,Alkylating the urine with sodium bicarbonate,Lithotripsy,D,
FA-Nephro-Stone-005,Nephrology,Nephrolithiasis,"A 45-year-old female admits to taking massive daily doses of a specific vitamin supplement, which subsequently leads to the development of radiopaque, envelope-shaped kidney stones. Which vitamin abuse is a known risk factor for calcium oxalate stones?",Vitamin A,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,C,
FA-Nephro-Stone-006,Nephrology,Nephrolithiasis,"A 60-year-old patient with leukemia undergoes aggressive chemotherapy. The increased cell turnover significantly raises his risk for developing a specific type of radiolucent, rhomboid-shaped kidney stone. Which type of stone is this?",Calcium oxalate,Calcium phosphate,Struvite,Cystine,Uric acid,E,
FA-Nephro-Stone-007,Nephrology,Nephrolithiasis,A patient is diagnosed with a severe right-sided ureteral stone. Ultrasound confirms a dilation of the renal pelvis. Which principle correctly describes the anatomical relationship of this dilation in hydronephrosis?,Dilation occurs distal to the obstruction,Dilation occurs proximal to the obstruction,Dilation only occurs bilaterally,Dilation is restricted to the minor calyces,Dilation strictly spares the renal pelvis,B,
FA-Nephro-Nephron-001,Nephrology,Nephron  & Tubular Defects,"A patient is prescribed acetazolamide for altitude sickness. In addition to causing metabolic acidosis, this drug can precipitate an allergic reaction in patients with which of the following specific sensitivities?",Penicillin allergy,Aspirin allergy,Peanut allergy,Sulfa allergy,Iodine allergy,D,
FA-Nephro-Nephron-002,Nephrology,Nephron  & Tubular Defects,"A 60-year-old male with hypertension is started on a thiazide diuretic. At his follow-up, laboratory results show several expected elevations (HyperGLUC). Which of the following is also a recognized adverse effect of this medication class?",Hyperkalemia,Hyperlipidemia,Hypocalcemia,Metabolic acidosis,Ototoxicity,B,
FA-Nephro-Nephron-003,Nephrology,Nephron  & Tubular Defects,"A young adult is diagnosed with Liddle Syndrome, an autosomal dominant condition increasing sodium reabsorption. Which of the following is the most appropriate pharmacological treatment for this specific syndrome?",Hydrochlorothiazide,Furosemide,K+ sparing diuretics,ACE inhibitors,Acetazolamide,C,
FA-Nephro-Nephron-004,Nephrology,Nephron & Tubular Defects,"A mountain climber takes a carbonic anhydrase inhibitor to prevent altitude sickness. Two days later, he develops metabolic acidosis. Which section of the nephron is the primary site of action for this medication?",Proximal convoluted tubule,Descending limb of the loop of Henle,Thick ascending limb of the loop of Henle,Distal convoluted tubule,Collecting duct,A,
FA-Nephro-Nephron-005,Nephrology,Nephron & Tubular Defects,"A child presents with failure to thrive. Laboratory tests reveal excretion of amino acids, glucose, bicarbonate, and phosphate, resulting in metabolic acidosis. A defect in which renal segment is responsible for this condition, known as Fanconi syndrome?",Proximal convoluted tubule,Thin descending limb,Thick ascending limb,Distal convoluted tubule,Collecting duct,A,
FA-Nephro-Nephron-006,Nephrology,Nephron & Tubular Defects,A patient with elevated intracranial pressure is treated with an osmotic diuretic that increases tubular fluid osmolarity. Which part of the nephron is the primary site of action for this drug?,Proximal convoluted tubule,Descending limb of the loop of Henle,Thick ascending limb of the loop of Henle,Distal convoluted tubule,Collecting duct,B,
FA-Nephro-Nephron-007,Nephrology,Nephron & Tubular Defects,A 70-year-old male with elevated intracranial pressure is being considered for mannitol therapy. A review of his medical history reveals a condition that makes this drug strictly contraindicated. Which of the following conditions is an absolute contraindication for mannitol?,Glaucoma,Congestive heart failure,Hyperuricemia,Metabolic alkalosis,Hypercalcemia,B,
FA-Nephro-Nephron-008,Nephrology,Nephron & Tubular Defects,"A patient is treated for acute pulmonary edema with an intravenous diuretic that inhibits the Na+/K+/2Cl- cotransporter, disrupting the hypertonicity of the medulla. The patient subsequently develops ototoxicity. Which medication was most likely administered?",Hydrochlorothiazide,Spironolactone,Furosemide,Acetazolamide,Mannitol,C,
FA-Nephro-Nephron-009,Nephrology,Nephron & Tubular Defects,A patient receiving long-term loop diuretic therapy presents with an episode of acute renal colic. Imaging confirms a calcium oxalate kidney stone. The diuretic used precipitates these stones by acting on which segment of the nephron?,Proximal convoluted tubule,Descending limb of the loop of Henle,Thick ascending limb of the loop of Henle,Distal convoluted tubule,Collecting duct,C,
FA-Nephro-Nephron-010,Nephrology,Nephron & Tubular Defects,"A child presents with poor growth. Laboratory findings show hypokalemia and metabolic alkalosis. The condition is due to an inherited defect in the thick ascending loop, functionally mimicking the effects of loop diuretics. Which syndrome is this?",Fanconi syndrome,Gitelman syndrome,Liddle syndrome,Bartter syndrome,Syndrome of Apparent Mineralocorticoid Excess,D,
FA-Nephro-Nephron-011,Nephrology,Nephron & Tubular Defects,"A 55-year-old male on a diuretic for hypertension routinely shows elevated serum glucose, uric acid, and calcium levels (HyperGLUC). What is the mechanism of action of the prescribed diuretic class?",Carbonic anhydrase inhibition,Inhibition of the Na+/K+/2Cl- cotransporter,Inhibition of NaCl reabsorption in the DCT,Aldosterone receptor antagonism,Osmotic diuresis,C,
FA-Nephro-Nephron-012,Nephrology,Nephron & Tubular Defects,"A teenager presents with hypokalemia, hypomagnesemia, and metabolic alkalosis. The genetic defect involved mimics the action of thiazide diuretics. Which segment of the nephron contains the reabsorption defect in this specific syndrome?",Proximal convoluted tubule,Thick ascending limb of the loop of Henle,Distal convoluted tubule,Cortical collecting duct,Medullary collecting duct,C,
FA-Nephro-Nephron-013,Nephrology,Nephron & Tubular Defects,"A patient with liver cirrhosis and hepatic ascites is started on a diuretic. Weeks later, he complains of tender breast enlargement. Which specific potassium-sparing diuretic, known for its anti-androgen effects, was most likely prescribed?",Furosemide,Hydrochlorothiazide,Amiloride,Spironolactone,Triamterene,D,
FA-Nephro-Nephron-014,Nephrology,Nephron & Tubular Defects,A patient develops nephrogenic diabetes insipidus. Which specific potassium-sparing diuretic is uniquely noted for its use in treating this particular condition?,Spironolactone,Eplerenone,Amiloride,Triamterene,Acetazolamide,C,
FA-Nephro-Nephron-015,Nephrology,Nephron & Tubular Defects,A young patient presents with severe hypertension and hypokalemia. Genetic testing reveals an autosomal dominant mutation causing decreased degradation of sodium channels in the collecting tubules. Which syndrome is this?,Bartter syndrome,Gitelman syndrome,Liddle syndrome,Fanconi syndrome,Syndrome of Apparent Mineralocorticoid Excess,C,
FA-Nephro-Nephron-016,Nephrology,Nephron & Tubular Defects,"A child presents with severe hypertension, hypokalemia, and metabolic alkalosis. The diagnosis is Syndrome of Apparent Mineralocorticoid Excess (S.A.M.E.). The pathogenesis fundamentally involves a decreased ability to convert which of the following?",Cortisone to cortisol,Cortisol to cortisone,Angiotensin I to Angiotensin II,Aldosterone to corticosterone,Progesterone to deoxycorticosterone,B,
FA-Nephro-Nephrotic-001,Nephrology,Nephrotic Syndromes,A 45-year-old male with nephrotic syndrome develops a pulmonary embolism. The hypercoagulable state in nephrotic syndrome is primarily driven by the urinary loss of which of the following?,Albumin,Immunoglobulins,Antithrombin III,Plasminogen,Fibrinogen,C,
FA-Nephro-Nephrotic-002,Nephrology,Nephrotic Syndromes,A 6-year-old child is diagnosed with a nephrotic syndrome. The severe proteinuria seen in this condition is fundamentally due to an impaired charge barrier resulting from damage to which specific structure?,Glomerular basement membrane,Endothelial fenestrations,Podocytes,Macula densa,Mesangial cells,C,
FA-Nephro-Nephrotic-003,Nephrology,Nephrotic Syndromes,"A 5-year-old boy develops severe edema following a viral immunization. Light microscopy of a renal biopsy appears normal. If an electron microscopy were performed, what would be the most likely specific finding?",Subendothelial immune complex deposition,Spike and dome appearance,Effacement of podocyte foot processes,Mesangial expansion and sclerosis,Splitting of the basement membrane,C,
FA-Nephro-Nephrotic-004,Nephrology,Nephrotic Syndromes,A 4-year-old girl is diagnosed with Minimal Change Disease. Her parents ask about the expected course of treatment. What is the classic therapeutic response associated with this specific disease?,Poor response to corticosteroids,Strong response to corticosteroids,Requires immediate kidney transplantation,Responsive only to cyclophosphamide,Worsens rapidly with ACE inhibitors,B,
FA-Nephro-Nephrotic-005,Nephrology,Nephrotic Syndromes,"A 35-year-old African American male with a history of HIV infection presents with nephrotic-range proteinuria. A renal biopsy is performed. Given the most likely diagnosis, what would be the expected finding on light microscopy?",Normal glomeruli,Diffuse capillary and GBM thickening,Segmental sclerosis and hyalinosis,Wire looping of capillaries,Kimmelstiel-Wilson nodules,C,
FA-Nephro-Nephrotic-006,Nephrology,Nephrotic Syndromes,"A patient with a history of heroin abuse develops Focal Segmental Glomerulosclerosis. Compared to minimal change disease, how is this patient's disease most likely to respond to standard therapy?",Rapid and complete remission,Strong initial response with frequent relapses,Poor response to corticosteroids,Dramatic improvement followed by acute renal failure,Response depends entirely on age,C,
FA-Nephro-Nephrotic-007,Nephrology,Nephrotic Syndromes,"A 50-year-old male with chronic Hepatitis B infection presents with heavy proteinuria. Renal biopsy demonstrates a ""spike and dome"" appearance on electron microscopy. What is the most common pathogenesis for the primary form of this specific nephropathy?",T-cell mediated cytokine release,Antibodies to Phospholipase A2 receptor,Nonenzymatic glycation of the basement membrane,Mutation in the type IV collagen gene,Circulating IgA immune complexes,B,
FA-Nephro-Nephrotic-008,Nephrology,Nephrotic Syndromes,A patient taking penicillamine develops massive proteinuria. Renal biopsy reveals diffuse capillary thickening with a granular IF pattern. Which of the following infections is also a classic secondary cause of this specific renal pathology?,HIV infection,Heroin abuse,Syphilis infection,Sickle cell trait,Streptococcal pharyngitis,C,
FA-Nephro-Nephrotic-009,Nephrology,Nephrotic Syndromes,A 60-year-old male with poorly controlled type 2 diabetes is found to have microalbuminuria. What is the initial pathophysiological mechanism that leads to glomerular hypertrophy and scarring in diabetic glomerulonephropathy?,Antibody deposition against the GBM,Nonenzymatic glycation causing hyperfiltration,T-cell mediated podocyte effacement,Ischemic injury to the renal medulla,Immune complex deposition in the mesangium,B,
FA-Nephro-Nephrotic-010,Nephrology,Nephrotic Syndromes,A patient with long-standing diabetes progresses to end-stage renal disease. Review of a renal biopsy reveals prominent eosinophilic glomerulosclerosis. What is the classic name for these specific nodular lesions?,Aschoff bodies,Kimmelstiel-Wilson lesions,Mallory bodies,Ghon complexes,Lewy bodies,B,
FA-Nephro-Nephrotic-011,Nephrology,Nephrotic Syndromes,A 28-year-old female with systemic lupus erythematosus presents with nephrotic-range proteinuria. A renal biopsy is performed. Which classic histological finding on light microscopy is highly characteristic of Diffuse Proliferative Glomerulonephritis?,Segmental sclerosis,Nodular glomerulosclerosis,Wire looping of capillaries,Crescent formation in Bowman's space,Normal glomerular architecture,C,
